,id,name,rot_num,line_id,price,handicap,selection,home_team,away_team
145,1598711073,Under,279,4467704685,2.49,1.5,Hayden Hurst (Receptions),Denver Broncos,Los Angeles Chargers
146,1598717009,Over,278,4467634159,1.591,2.5,Javonte Williams (Receptions),Denver Broncos,Los Angeles Chargers
147,1598717010,Under,279,4467634160,2.37,2.5,Javonte Williams (Receptions),Denver Broncos,Los Angeles Chargers
148,1598756162,Over,280,4467717869,1.806,1.5,Van Jefferson (Receptions),Las Vegas Raiders,Pittsburgh Steelers
149,1598756163,Under,281,4467717870,2.03,1.5,Van Jefferson (Receptions),Las Vegas Raiders,Pittsburgh Steelers
150,1598756175,Over,280,4467705244,1.826,1.5,Calvin Austin III (Receptions),Las Vegas Raiders,Pittsburgh Steelers
151,1598756176,Under,281,4467705245,2.0,1.5,Calvin Austin III (Receptions),Las Vegas Raiders,Pittsburgh Steelers
152,1598757769,Over,278,4467634001,2.25,4.5,Courtland Sutton (Receptions),Denver Broncos,Los Angeles Chargers
153,1598757770,Under,279,4467634002,1.649,4.5,Courtland Sutton (Receptions),Denver Broncos,Los Angeles Chargers
154,1598757798,Over,278,4467634045,2.11,2.5,Lil'Jordan Humphrey (Receptions),Denver Broncos,Los Angeles Chargers
155,1598757799,Under,279,4467634046,1.74,2.5,Lil'Jordan Humphrey (Receptions),Denver Broncos,Los Angeles Chargers
156,1598800213,Over,280,4467717901,2.35,2.5,Najee Harris (Receptions),Las Vegas Raiders,Pittsburgh Steelers
157,1598800214,Under,281,4467717902,1.602,2.5,Najee Harris (Receptions),Las Vegas Raiders,Pittsburgh Steelers
158,1598811907,Over,278,4467634076,2.03,2.5,J.K. Dobbins (Receptions),Denver Broncos,Los Angeles Chargers
159,1598811908,Under,279,4467634077,1.8,2.5,J.K. Dobbins (Receptions),Denver Broncos,Los Angeles Chargers
160,1598811926,Over,278,4467633995,1.99,1.5,Will Dissly (Receptions),Denver Broncos,Los Angeles Chargers
161,1598811927,Under,279,4467633996,1.826,1.5,Will Dissly (Receptions),Denver Broncos,Los Angeles Chargers
162,1598812123,Over,280,4467718092,2.24,5.5,Brock Bowers (Receptions),Las Vegas Raiders,Pittsburgh Steelers
