match,home_team,away_team,market,player_name,player_team,opposition_team,line,over_price,agency
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Josh Allen,Buffalo Bills,Tampa Bay Buccaneers,2.5,3.9,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Josh Allen,Buffalo Bills,Tampa Bay Buccaneers,1.5,1.94,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Josh Allen,Buffalo Bills,Tampa Bay Buccaneers,4.5,26,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Bryce Young,Carolina Panthers,Atlanta Falcons,1.5,2.6,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Bryce Young,Carolina Panthers,Atlanta Falcons,4.5,67,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Bryce Young,Carolina Panthers,Atlanta Falcons,0.5,1.3599999999999999,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Bryce Young,Carolina Panthers,Atlanta Falcons,3.5,19,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Bryce Young,Carolina Panthers,Atlanta Falcons,2.5,6.5,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Baker Mayfield,Tampa Bay Buccaneers,Buffalo Bills,1.5,2.2,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Baker Mayfield,Tampa Bay Buccaneers,Buffalo Bills,3.5,13,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Baker Mayfield,Tampa Bay Buccaneers,Buffalo Bills,2.5,4.8,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Baker Mayfield,Tampa Bay Buccaneers,Buffalo Bills,0.5,1.26,Neds
Buffalo Bills v Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,Passing Touchdowns,Baker Mayfield,Tampa Bay Buccaneers,Buffalo Bills,4.5,41,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Michael Penix,NA,NA,2.5,4.25,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Michael Penix,NA,NA,3.5,11,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Michael Penix,NA,NA,4.5,34,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Michael Penix,NA,NA,1.5,2.05,Neds
Atlanta Falcons v Carolina Panthers,Atlanta Falcons,Carolina Panthers,Passing Touchdowns,Michael Penix,NA,NA,0.5,1.22,Neds
Los Angeles Rams v Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Passing Touchdowns,Matthew Stafford,Los Angeles Rams,Seattle Seahawks,0.5,1.08,Neds
Los Angeles Rams v Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Passing Touchdowns,Matthew Stafford,Los Angeles Rams,Seattle Seahawks,4.5,11.5,Neds
Los Angeles Rams v Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Passing Touchdowns,Matthew Stafford,Los Angeles Rams,Seattle Seahawks,2.5,2.55,Neds
Los Angeles Rams v Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Passing Touchdowns,Matthew Stafford,Los Angeles Rams,Seattle Seahawks,1.5,1.52,Neds
Los Angeles Rams v Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,Passing Touchdowns,Matthew Stafford,Los Angeles Rams,Seattle Seahawks,3.5,5,Neds
New York Giants v Green Bay Packers,New York Giants,Green Bay Packers,Passing Touchdowns,Jameis Winston,New York Giants,Green Bay Packers,3.5,19,Neds
New York Giants v Green Bay Packers,New York Giants,Green Bay Packers,Passing Touchdowns,Jameis Winston,New York Giants,Green Bay Packers,0.5,1.3599999999999999,Neds
New York Giants v Green Bay Packers,New York Giants,Green Bay Packers,Passing Touchdowns,Jameis Winston,New York Giants,Green Bay Packers,2.5,6.5,Neds
New York Giants v Green Bay Packers,New York Giants,Green Bay Packers,Passing Touchdowns,Jameis Winston,New York Giants,Green Bay Packers,4.5,67,Neds
New York Giants v Green Bay Packers,New York Giants,Green Bay Packers,Passing Touchdowns,Jameis Winston,New York Giants,Green Bay Packers,1.5,2.6,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,J.J. McCarthy,Minnesota Vikings,Chicago Bears,2.5,3.35,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,J.J. McCarthy,Minnesota Vikings,Chicago Bears,0.5,1.15,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,J.J. McCarthy,Minnesota Vikings,Chicago Bears,1.5,1.78,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,J.J. McCarthy,Minnesota Vikings,Chicago Bears,4.5,21,Neds
Minnesota Vikings v Chicago Bears,Minnesota Vikings,Chicago Bears,Passing Touchdowns,J.J. McCarthy,Minnesota Vikings,Chicago Bears,3.5,7.5,Neds
