match,home_team,away_team,market,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Nico Collins,Houston Texans,79.5,2.05,1.73,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 79.5 - Nico Collins (HOU),51041758,Nico Collins Over 79.5,Nico Collins Under 79.5,1,2,282044745,282044744
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Nico Collins,Houston Texans,89.5,2.5,1.5,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 89.5 - Nico Collins (HOU),51041759,Nico Collins Over 89.5,Nico Collins Under 89.5,1,2,282044747,282044746
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,AJ Barner,Seattle Seahawks,14.5,1.3,3.4,BetRight,Houston Texans,Player Receive Yards Over/Under 14.5 - AJ Barner (SEA),51078387,AJ Barner Over 14.5,AJ Barner Under 14.5,1,2,282217793,282217794
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,AJ Barner,Seattle Seahawks,19.5,1.5,2.5,BetRight,Houston Texans,Player Receive Yards Over/Under 19.5 - AJ Barner (SEA),51078388,AJ Barner Over 19.5,AJ Barner Under 19.5,1,2,282217795,282217796
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,AJ Barner,Seattle Seahawks,24.5,1.78,2,BetRight,Houston Texans,Player Receive Yards Over/Under 24.5 - AJ Barner (SEA),51078389,AJ Barner Over 24.5,AJ Barner Under 24.5,1,2,282217797,282217798
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,AJ Barner,Seattle Seahawks,29.5,2.1,1.7,BetRight,Houston Texans,Player Receive Yards Over/Under 29.5 - AJ Barner (SEA),51078390,AJ Barner Over 29.5,AJ Barner Under 29.5,1,2,282217799,282217800
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,AJ Barner,Seattle Seahawks,34.5,2.5,1.5,BetRight,Houston Texans,Player Receive Yards Over/Under 34.5 - AJ Barner (SEA),51078391,AJ Barner Over 34.5,AJ Barner Under 34.5,1,2,282217801,282217802
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Cooper Kupp,Seattle Seahawks,29.5,1.48,2.5,BetRight,Houston Texans,Player Receive Yards Over/Under 29.5 - Cooper Kupp (SEA),51078392,Cooper Kupp Over 29.5,Cooper Kupp Under 29.5,1,2,282217803,282217804
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Cooper Kupp,Seattle Seahawks,34.5,1.68,2.15,BetRight,Houston Texans,Player Receive Yards Over/Under 34.5 - Cooper Kupp (SEA),51078393,Cooper Kupp Over 34.5,Cooper Kupp Under 34.5,1,2,282217805,282217806
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Cooper Kupp,Seattle Seahawks,39.5,1.91,1.86,BetRight,Houston Texans,Player Receive Yards Over/Under 39.5 - Cooper Kupp (SEA),51078394,Cooper Kupp Over 39.5,Cooper Kupp Under 39.5,1,2,282217807,282217808
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Cooper Kupp,Seattle Seahawks,44.5,2.2,1.65,BetRight,Houston Texans,Player Receive Yards Over/Under 44.5 - Cooper Kupp (SEA),51078395,Cooper Kupp Over 44.5,Cooper Kupp Under 44.5,1,2,282217809,282217810
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Cooper Kupp,Seattle Seahawks,49.5,2.5,1.5,BetRight,Houston Texans,Player Receive Yards Over/Under 49.5 - Cooper Kupp (SEA),51078396,Cooper Kupp Over 49.5,Cooper Kupp Under 49.5,1,2,282217811,282217812
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Dalton Schultz,Houston Texans,29.5,1.42,2.8,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 29.5 - Dalton Schultz (HOU),51078403,Dalton Schultz Over 29.5,Dalton Schultz Under 29.5,1,2,282217826,282217825
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Dalton Schultz,Houston Texans,34.5,1.6,2.25,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 34.5 - Dalton Schultz (HOU),51078404,Dalton Schultz Over 34.5,Dalton Schultz Under 34.5,1,2,282217827,282217828
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Dalton Schultz,Houston Texans,39.5,1.86,1.91,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 39.5 - Dalton Schultz (HOU),51078405,Dalton Schultz Over 39.5,Dalton Schultz Under 39.5,1,2,282217829,282217830
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Dalton Schultz,Houston Texans,44.5,2.15,1.68,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 44.5 - Dalton Schultz (HOU),51078406,Dalton Schultz Over 44.5,Dalton Schultz Under 44.5,1,2,282217832,282217831
Seattle Seahawks v Houston Texans,Seattle Seahawks,Houston Texans,Receiving Yards,Dalton Schultz,Houston Texans,49.5,2.5,1.5,BetRight,Seattle Seahawks,Player Receive Yards Over/Under 49.5 - Dalton Schultz (HOU),51142247,Dalton Schultz Over 49.5,Dalton Schultz Under 49.5,1,2,282472810,282472811
